systemStakingPercent,timestamp,ethereum,optimism,timestamp_utc
0.7043213195612553,1685571528,141414938.7916419,83228674.35868062,2023-05-31 22:18:48+00:00
0.7044937601959546,1686417540,141233521.85418582,83923639.2605205,2023-06-10 17:19:00+00:00
0.7039835977989793,1686504199,141017332.2321737,83976780.28863385,2023-06-11 17:23:19+00:00
0.7040943767558616,1686525867,141022754.63386935,84006762.99178389,2023-06-11 23:24:27+00:00
0.7047887963028945,1686569195,141147950.4513288,84103504.60325065,2023-06-12 11:26:35+00:00
0.7049166882145156,1686590860,141169758.92946678,84122570.55349956,2023-06-12 17:27:40+00:00
0.70506583977076,1686655859,141166399.48025286,84173599.04235196,2023-06-13 11:30:59+00:00
0.7050876778310627,1686677528,141166399.48025286,84180578.51603906,2023-06-13 17:32:08+00:00
0.7073883035135146,1686785854,141256897.29922238,84825363.78503384,2023-06-14 23:37:34+00:00
0.7037828978902063,1686850852,141228705.99052146,83930305.19247918,2023-06-15 17:40:52+00:00
0.7041635478524384,1686937522,141528863.63498244,83751927.67276971,2023-06-16 17:45:22+00:00
0.7046800271200997,1687002522,141521351.00923765,83924675.85844608,2023-06-17 11:48:42+00:00
0.7053766848575986,1687175859,141550630.3222785,84118276.026817,2023-06-19 11:57:39+00:00
